#VALIDAÇÃO	Update
neutro	Alejandra contratou dois dublês! Um dos melhores planos da história das novelas. #AmoràVida
positivo	Amei o plano da Alejandra ♥ #AmoràVida
neutro	E se a Alejandra chega no Aeroporto e dá de cara com a Astrid gravando chegadas e partidas e estraga todo o plano!! #AmoràVida
neutro	"Nao duvido desse plano da alejandra... Brasil né. Qualquer um entra, qualquer um sai #AmorAVida"
neutro	"O plano de fuga da Alejandra foi praticamente perfeito.Não ficou nada forçado,muito pelo contrário, parecia de profissional! FIM #AmoràVida"
neutro	RT @ZAMENZA: Alejandra contratou dois dublês! Um dos melhores planos da história das novelas. #AmoràVida
neutro	"RT @ZAMENZA: O plano de fuga da Alejandra foi praticamente perfeito.Não ficou nada forçado,muito pelo contrário, parecia de profissional! FIM #AmoràVida"
positivo	#AmorAVida  olha o plano dessa Pilantra! Kkk... Adoruuu...
positivo	#AMORAVIDA Gostei do plano de fuga! Impossível dar errado!! kkkk
neutro	Devem ter usado o mesmo plano pra trazer o senador boliviano perseguido pelo índio Evo. #AmoràVida
positivo	"mds, que plano é esse KKKKKKKKKKKKKKKKKKK essa mulher é do mal #AmoraVida"
neutro	“@valeria_bandida: Mais Valdirene e menos Paloma. #AmorAVida” por favorrrrrr
neutro	Gente olha esse teatro no aeroporto!! Alejandra GENIAL (sem ironias) #AmorAVida #MPN #Valdirene
neutro	Mais Valdirene e menos Paloma. #AmorAVida
neutro	RT @FatosMarcados: Mais Valdirene e menos Paloma. #AmorAVida
neutro	RT @suachacrete: Ale alejandra mais falsa do que valdirene dizendo que não está com fome #amoravida
neutro	A mamãe #paradoxa que não vai ficar NADA FELIZ! com noticias de gravidez de #Val! E #Paloma tonta como SEMPRE! Filme #AmorAVida
neutro	RT @VALDlRENE: Cadê o plantão da globo anunciando o sequestro da Paulinha? #AmoràVida
neutro	"""@rede_globo: nossa falta criatividade para o autor ja são 2semanas só nesse sequestro  #AmoràVida"""
neutro	"""E lá se vão Paulinha, Ninho e Alejandra... Será que essa fuga vai dar certo? #AmoràVida"""
positivo	"""Nada de trazer o babaca do Bruno!"" NINHO REI #AmorAVida"
positivo	"""Quem diria que o chupetinha ia virar sequestrador, hein. #AmorAVida"" kkkkkkkkkkkkkk"
neutro	#AmorAVida  fala serio a CICA não falar p Paloma que o Félix que ta por traz...
neutro	"#dicas RT @brunoazevedo: Eles oferecem maconha nessa praça, Paulinha! #AmorAVida"
neutro	Ah vá! O Félix descobriu que a Alejandra é bandida!!! #AmorAVida
neutro	ai esse Ninho é burro né...não aprendeu na mesma escola q a Alejandra #AmorAVida
